Data rilevamento;Ora;Id Rete Monitoraggio;Codice Istat Comune;Progr. Punto Comune;Denominazione Stazione;Id Parametro;Descr. Parametro;Id Un. misura;Descr. Un. misura;Valore;Stato
11/01/2012;07:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;08:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;09:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;10:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;11:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;12:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;13:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;14:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;15:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;16:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;17:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;18:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;19:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;20:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;21:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;22:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;23:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
11/01/2012;23:59;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;01:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;02:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;03:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;04:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;05:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;06:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;07:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;08:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;09:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;10:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;11:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;12:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;13:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;14:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;15:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;16:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;17:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;18:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;19:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;20:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;21:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;22:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;23:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
12/01/2012;23:59;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;01:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;02:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;03:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;04:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;05:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;06:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;07:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;08:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;09:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;10:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;11:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;12:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;13:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;14:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;15:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;16:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;17:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;18:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;19:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;20:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;21:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;22:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;23:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
13/01/2012;23:59;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;01:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;02:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;03:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;04:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;05:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;06:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;07:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;08:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;09:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;10:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;11:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;12:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;13:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;14:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;15:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;16:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;17:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;18:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;19:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;20:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;21:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;22:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;23:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
14/01/2012;23:59;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;01:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;02:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;03:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;04:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;05:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;06:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;07:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;08:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;09:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;10:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;11:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;12:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;13:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;14:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;15:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;16:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;17:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;18:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;19:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;20:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;21:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;22:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;23:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
15/01/2012;23:59;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;01:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;02:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;03:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;04:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;05:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;06:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;07:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;08:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;09:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;10:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;11:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;12:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;13:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;14:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;15:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;16:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;17:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;18:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;19:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;20:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;21:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;22:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;23:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
16/01/2012;23:59;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;01:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;02:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;03:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;04:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;05:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;06:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;07:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;08:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;09:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;10:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;11:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;12:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;13:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;14:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;15:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;16:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;17:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;18:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;19:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;20:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;21:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;22:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;23:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
17/01/2012;23:59;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;01:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;02:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;03:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;04:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;05:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;06:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;07:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;08:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;09:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;10:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;11:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;12:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;13:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;14:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;15:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;16:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;17:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;18:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;19:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;20:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;21:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;22:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;23:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
18/01/2012;23:59;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;01:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;02:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;03:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;04:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;05:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;06:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;07:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;08:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;09:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;10:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;11:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;12:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;13:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;14:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;15:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;16:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;17:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;18:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;19:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;20:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;21:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;22:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;23:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
19/01/2012;23:59;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
20/01/2012;01:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
20/01/2012;02:00;13;001272;803;Torino - Consolata;BENZENE;Benzene;23;microgrammi / metro cubo;;E;
